[pool-6-thread-2986] INFO  com.techm.tnt.protocol.gateway.location.checksum.LGSmartDgChecksumFactory 29/12/2018 00:13:51 - Location Guru Parsed Message: AHeader=LGURU&ASmartDG_id=b827eb6a07fb&AT_V=00.00&BB_V=08.59&CB=000.00&CR=000.00&CT=000.00&CY=000.00&DG=1&DG_OffTime=0000/00/00_00:00:00&DG_OnTime=0000/00/00_00:00:00&DG_V=12.79&DLAT=N&DLON=E&EB=0&EB_OffTime=0000/00/00_00:00:00&EB_OnTime=0000/00/00_00:00:00&Event_Type=01&FF_DateTime=2018/12/28_06:20:14&FREQ=00.00&LAT=0019.1137783&LH=0000.00&LON=0073.0122151&PFA=00.00&PFB=00.00&PFR=00.00&PFY=00.00&PT=0&SS=0&VAB=00000.00&VAR=00000.00&VARB=00000.00&VARR=00000.00&VART=00000.00&VARY=00000.00&VAT=00000.00&VAY=00000.00&VB=000.00&VBR=00000.00&VLLA=00000.00&VLNA=00000.00&VR=000.00&VRY=00000.00&VY=000.00&VYB=00000.00&WB=000000.00&WH=000000.00&WR=000000.00&WT=000000.00&WY=000000.00&dateTime=2018/12/28_18:43:51&volume=040.38
[pool-6-thread-2986] INFO  com.techm.tnt.protocol.gateway.location.checksum.LGSmartDgChecksumFactory 29/12/2018 00:14:51 - Location Guru Parsed Message: AHeader=LGURU&ASmartDG_id=b827eb6a07fb&AT_V=00.00&BB_V=08.59&CB=000.00&CR=000.00&CT=000.00&CY=000.00&DG=1&DG_OffTime=0000/00/00_00:00:00&DG_OnTime=0000/00/00_00:00:00&DG_V=12.76&DLAT=N&DLON=E&EB=0&EB_OffTime=0000/00/00_00:00:00&EB_OnTime=0000/00/00_00:00:00&Event_Type=01&FF_DateTime=2018/12/28_06:20:14&FREQ=00.00&LAT=0019.1137783&LH=0000.00&LON=0073.0122151&PFA=00.00&PFB=00.00&PFR=00.00&PFY=00.00&PT=0&SS=0&VAB=00000.00&VAR=00000.00&VARB=00000.00&VARR=00000.00&VART=00000.00&VARY=00000.00&VAT=00000.00&VAY=00000.00&VB=000.00&VBR=00000.00&VLLA=00000.00&VLNA=00000.00&VR=000.00&VRY=00000.00&VY=000.00&VYB=00000.00&WB=000000.00&WH=000000.00&WR=000000.00&WT=000000.00&WY=000000.00&dateTime=2018/12/28_18:44:51&volume=040.38
[pool-6-thread-2986] INFO  com.techm.tnt.protocol.gateway.location.checksum.LGSmartDgChecksumFactory 29/12/2018 00:15:52 - Location Guru Parsed Message: AHeader=LGURU&ASmartDG_id=b827eb6a07fb&AT_V=00.00&BB_V=08.59&CB=000.00&CR=000.00&CT=000.00&CY=000.00&DG=1&DG_OffTime=0000/00/00_00:00:00&DG_OnTime=0000/00/00_00:00:00&DG_V=12.76&DLAT=N&DLON=E&EB=0&EB_OffTime=0000/00/00_00:00:00&EB_OnTime=0000/00/00_00:00:00&Event_Type=01&FF_DateTime=2018/12/28_06:20:14&FREQ=00.00&LAT=0019.1137783&LH=0000.00&LON=0073.0122151&PFA=00.00&PFB=00.00&PFR=00.00&PFY=00.00&PT=0&SS=0&VAB=00000.00&VAR=00000.00&VARB=00000.00&VARR=00000.00&VART=00000.00&VARY=00000.00&VAT=00000.00&VAY=00000.00&VB=000.00&VBR=00000.00&VLLA=00000.00&VLNA=00000.00&VR=000.00&VRY=00000.00&VY=000.00&VYB=00000.00&WB=000000.00&WH=000000.00&WR=000000.00&WT=000000.00&WY=000000.00&dateTime=2018/12/28_18:45:51&volume=040.38
[pool-6-thread-2986] INFO  com.techm.tnt.protocol.gateway.location.checksum.LGSmartDgChecksumFactory 29/12/2018 00:16:52 - Location Guru Parsed Message: AHeader=LGURU&ASmartDG_id=b827eb6a07fb&AT_V=00.00&BB_V=08.59&CB=000.00&CR=000.00&CT=000.00&CY=000.00&DG=1&DG_OffTime=0000/00/00_00:00:00&DG_OnTime=0000/00/00_00:00:00&DG_V=12.76&DLAT=N&DLON=E&EB=0&EB_OffTime=0000/00/00_00:00:00&EB_OnTime=0000/00/00_00:00:00&Event_Type=01&FF_DateTime=2018/12/28_06:20:14&FREQ=00.00&LAT=0019.1137783&LH=0000.00&LON=0073.0122151&PFA=00.00&PFB=00.00&PFR=00.00&PFY=00.00&PT=0&SS=0&VAB=00000.00&VAR=00000.00&VARB=00000.00&VARR=00000.00&VART=00000.00&VARY=00000.00&VAT=00000.00&VAY=00000.00&VB=000.00&VBR=00000.00&VLLA=00000.00&VLNA=00000.00&VR=000.00&VRY=00000.00&VY=000.00&VYB=00000.00&WB=000000.00&WH=000000.00&WR=000000.00&WT=000000.00&WY=000000.00&dateTime=2018/12/28_18:46:51&volume=040.38
[pool-6-thread-2987] INFO  com.techm.tnt.protocol.gateway.location.checksum.LGSmartDgChecksumFactory 29/12/2018 00:17:52 - Location Guru Parsed Message: AHeader=LGURU&ASmartDG_id=b827eb6a07fb&AT_V=00.00&BB_V=08.59&CB=000.00&CR=000.00&CT=000.00&CY=000.00&DG=1&DG_OffTime=0000/00/00_00:00:00&DG_OnTime=0000/00/00_00:00:00&DG_V=12.77&DLAT=N&DLON=E&EB=0&EB_OffTime=0000/00/00_00:00:00&EB_OnTime=0000/00/00_00:00:00&Event_Type=01&FF_DateTime=2018/12/28_06:20:14&FREQ=00.00&LAT=0019.1137783&LH=0000.00&LON=0073.0122151&PFA=00.00&PFB=00.00&PFR=00.00&PFY=00.00&PT=0&SS=0&VAB=00000.00&VAR=00000.00&VARB=00000.00&VARR=00000.00&VART=00000.00&VARY=00000.00&VAT=00000.00&VAY=00000.00&VB=000.00&VBR=00000.00&VLLA=00000.00&VLNA=00000.00&VR=000.00&VRY=00000.00&VY=000.00&VYB=00000.00&WB=000000.00&WH=000000.00&WR=000000.00&WT=000000.00&WY=000000.00&dateTime=2018/12/28_18:47:51&volume=040.38
[pool-6-thread-2987] INFO  com.techm.tnt.protocol.gateway.location.checksum.LGSmartDgChecksumFactory 29/12/2018 00:18:52 - Location Guru Parsed Message: AHeader=LGURU&ASmartDG_id=b827eb6a07fb&AT_V=00.00&BB_V=08.59&CB=000.00&CR=000.00&CT=000.00&CY=000.00&DG=1&DG_OffTime=0000/00/00_00:00:00&DG_OnTime=0000/00/00_00:00:00&DG_V=12.72&DLAT=N&DLON=E&EB=0&EB_OffTime=0000/00/00_00:00:00&EB_OnTime=0000/00/00_00:00:00&Event_Type=01&FF_DateTime=2018/12/28_06:20:14&FREQ=00.00&LAT=0019.1137783&LH=0000.00&LON=0073.0122151&PFA=00.00&PFB=00.00&PFR=00.00&PFY=00.00&PT=0&SS=0&VAB=00000.00&VAR=00000.00&VARB=00000.00&VARR=00000.00&VART=00000.00&VARY=00000.00&VAT=00000.00&VAY=00000.00&VB=000.00&VBR=00000.00&VLLA=00000.00&VLNA=00000.00&VR=000.00&VRY=00000.00&VY=000.00&VYB=00000.00&WB=000000.00&WH=000000.00&WR=000000.00&WT=000000.00&WY=000000.00&dateTime=2018/12/28_18:48:51&volume=040.38
[pool-6-thread-2988] INFO  com.techm.tnt.protocol.gateway.location.checksum.LGSmartDgChecksumFactory 29/12/2018 00:19:52 - Location Guru Parsed Message: AHeader=LGURU&ASmartDG_id=b827eb6a07fb&AT_V=00.00&BB_V=08.59&CB=000.00&CR=000.00&CT=000.00&CY=000.00&DG=1&DG_OffTime=0000/00/00_00:00:00&DG_OnTime=0000/00/00_00:00:00&DG_V=12.77&DLAT=N&DLON=E&EB=0&EB_OffTime=0000/00/00_00:00:00&EB_OnTime=0000/00/00_00:00:00&Event_Type=01&FF_DateTime=2018/12/28_06:20:14&FREQ=00.00&LAT=0019.1137783&LH=0000.00&LON=0073.0122151&PFA=00.00&PFB=00.00&PFR=00.00&PFY=00.00&PT=0&SS=0&VAB=00000.00&VAR=00000.00&VARB=00000.00&VARR=00000.00&VART=00000.00&VARY=00000.00&VAT=00000.00&VAY=00000.00&VB=000.00&VBR=00000.00&VLLA=00000.00&VLNA=00000.00&VR=000.00&VRY=00000.00&VY=000.00&VYB=00000.00&WB=000000.00&WH=000000.00&WR=000000.00&WT=000000.00&WY=000000.00&dateTime=2018/12/28_18:49:51&volume=040.38
[pool-6-thread-2988] INFO  com.techm.tnt.protocol.gateway.location.checksum.LGSmartDgChecksumFactory 29/12/2018 00:20:54 - Location Guru Parsed Message: AHeader=LGURU&ASmartDG_id=b827eb6a07fb&AT_V=00.00&BB_V=08.59&CB=000.00&CR=000.00&CT=000.00&CY=000.00&DG=1&DG_OffTime=0000/00/00_00:00:00&DG_OnTime=0000/00/00_00:00:00&DG_V=12.77&DLAT=N&DLON=E&EB=0&EB_OffTime=0000/00/00_00:00:00&EB_OnTime=0000/00/00_00:00:00&Event_Type=01&FF_DateTime=2018/12/28_06:20:14&FREQ=00.00&LAT=0019.1137783&LH=0000.00&LON=0073.0122151&PFA=00.00&PFB=00.00&PFR=00.00&PFY=00.00&PT=0&SS=0&VAB=00000.00&VAR=00000.00&VARB=00000.00&VARR=00000.00&VART=00000.00&VARY=00000.00&VAT=00000.00&VAY=00000.00&VB=000.00&VBR=00000.00&VLLA=00000.00&VLNA=00000.00&VR=000.00&VRY=00000.00&VY=000.00&VYB=00000.00&WB=000000.00&WH=000000.00&WR=000000.00&WT=000000.00&WY=000000.00&dateTime=2018/12/28_18:50:51&volume=040.38
[pool-6-thread-2988] INFO  com.techm.tnt.protocol.gateway.location.checksum.LGSmartDgChecksumFactory 29/12/2018 00:21:52 - Location Guru Parsed Message: AHeader=LGURU&ASmartDG_id=b827eb6a07fb&AT_V=00.00&BB_V=08.59&CB=000.00&CR=000.00&CT=000.00&CY=000.00&DG=1&DG_OffTime=0000/00/00_00:00:00&DG_OnTime=0000/00/00_00:00:00&DG_V=12.73&DLAT=N&DLON=E&EB=0&EB_OffTime=0000/00/00_00:00:00&EB_OnTime=0000/00/00_00:00:00&Event_Type=01&FF_DateTime=2018/12/28_06:20:14&FREQ=00.00&LAT=0019.1137783&LH=0000.00&LON=0073.0122151&PFA=00.00&PFB=00.00&PFR=00.00&PFY=00.00&PT=0&SS=0&VAB=00000.00&VAR=00000.00&VARB=00000.00&VARR=00000.00&VART=00000.00&VARY=00000.00&VAT=00000.00&VAY=00000.00&VB=000.00&VBR=00000.00&VLLA=00000.00&VLNA=00000.00&VR=000.00&VRY=00000.00&VY=000.00&VYB=00000.00&WB=000000.00&WH=000000.00&WR=000000.00&WT=000000.00&WY=000000.00&dateTime=2018/12/28_18:51:51&volume=040.38
[pool-6-thread-2989] INFO  com.techm.tnt.protocol.gateway.location.checksum.LGSmartDgChecksumFactory 29/12/2018 00:22:52 - Location Guru Parsed Message: AHeader=LGURU&ASmartDG_id=b827eb6a07fb&AT_V=00.00&BB_V=08.59&CB=000.00&CR=000.00&CT=000.00&CY=000.00&DG=1&DG_OffTime=0000/00/00_00:00:00&DG_OnTime=0000/00/00_00:00:00&DG_V=12.76&DLAT=N&DLON=E&EB=0&EB_OffTime=0000/00/00_00:00:00&EB_OnTime=0000/00/00_00:00:00&Event_Type=01&FF_DateTime=2018/12/28_06:20:14&FREQ=00.00&LAT=0019.1137783&LH=0000.00&LON=0073.0122151&PFA=00.00&PFB=00.00&PFR=00.00&PFY=00.00&PT=0&SS=0&VAB=00000.00&VAR=00000.00&VARB=00000.00&VARR=00000.00&VART=00000.00&VARY=00000.00&VAT=00000.00&VAY=00000.00&VB=000.00&VBR=00000.00&VLLA=00000.00&VLNA=00000.00&VR=000.00&VRY=00000.00&VY=000.00&VYB=00000.00&WB=000000.00&WH=000000.00&WR=000000.00&WT=000000.00&WY=000000.00&dateTime=2018/12/28_18:52:51&volume=040.38
