CB,dateTime,AHeader,EB,VARR,PFR,VAR,PT,EB_OnTime,FREQ,DG_OnTime,SS,WR,CT,DG,EB_OffTime,WH,VB,VARY,VAB,VARB,ASmartDG_id,LAT,LH,PFY,VLNA,VY,LON,Event_Type,VBR,VLLA,WY,BB_V,PFA,WB,VART,CY,DLAT,WT,DLON,PFB,DG_V,volume,CR,VR,AT_V,FF_DateTime,VAY,DG_OffTime,VYB,VRY,VAT
000.00,2018-12-27 19:04:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.61,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 19:05:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.63,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 19:06:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.61,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 19:07:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.63,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 19:08:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.61,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 19:09:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.63,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 19:10:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.64,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 19:11:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.61,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 19:12:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.63,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
000.00,2018-12-27 19:13:51,LGURU,0,00000.00,00.00,00000.00,0,0000/00/00_00:00:00,00.00,0000/00/00_00:00:00,0,000000.00,000.00,1,0000/00/00_00:00:00,000000.00,000.00,00000.00,00000.00,00000.00,b827eb6a07fb,0019.1137783,0000.00,00.00,00000.00,000.00,0073.0122151,01,00000.00,00000.00,000000.00,08.59,00.00,000000.00,00000.00,000.00,N,000000.00,E,00.00,12.63,000.00,000.00,000.00,00.00,0000/00/00_00:00:00,00000.00,0000/00/00_00:00:00,00000.00,00000.00,00000.00
